date,of_orders,of_new_orders,new_customers,total_revenue,gross_profit,cogs,impressions,clicks,spend,attributed_revenue,ctr,roas
2025-05-16,2452,987,989,238010.95,124434.71,113576.24,4941478,125323,40107.26,110281.84999999999,0.02536144044352722,2.749673001845551
2025-05-17,2173,772,761,224086.4,126119.02,97967.38,5045054,124233,41682.96,114401.62999999999,0.02462471164827968,2.7445658849563466
2025-05-18,2749,1275,1192,226582.57,128282.08,98300.49,5257187,125364,42959.17,123677.58,0.02384621281305002,2.8789564602854294
2025-05-19,2060,1012,960,203540.86,100212.05,103328.81,4768188,115391,39938.04,111469.36,0.024200178348672493,2.7910573478317913
2025-05-20,1791,910,908,188081.24,115962.11,72119.13,4811244,109106,33217.76,92178.22,0.02267729510288815,2.7749679689419153
2025-05-21,2874,934,872,251286.55,123962.87,127323.68,5187524,122433,42801.14,118069.09,0.023601432976502856,2.7585501227303757
2025-05-22,1704,848,842,186182.97,99768.23,86414.74,5060508,120066,35114.58,98498.49,0.023726076512476612,2.805059607718503
2025-05-23,2745,1268,1177,243080.55,130791.92,112288.63,4776312,118195,38269.09,107060.0,0.02474608023931435,2.7975580292084294
2025-05-24,3096,1097,1060,282268.06,174043.94,108224.12,5464877,130748,47081.29,127327.49,0.023925149641977304,2.7044180395227064
2025-05-25,2254,1023,1041,227809.53,114404.11,113405.42,4742807,111296,38483.8,105963.92000000001,0.023466272188600548,2.753468212598548
2025-05-26,3820,1330,1271,270095.08,159451.57,110643.51,4961328,127562,41851.42,115612.25,0.02571126117845867,2.762445097442333
2025-05-27,2138,1122,1142,208047.23,113217.2,94830.03,4825667,120965,37522.380000000005,104488.72,0.025067001100573246,2.784703955346116
2025-05-28,2895,1326,1271,285303.34,142558.79,142744.55,5509301,128889,46185.43,126413.23,0.02339480090123956,2.7370802870082622
2025-05-29,3396,1580,1463,280842.28,166797.62,114044.66,5533635,137919,44560.4,129619.01999999999,0.02492376168648637,2.908838789597939
