date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue,channel,ctr,cpc,cpm,roas
2025-05-16,ASC,NY,Facebook - ASC - C01,124603,1888,1442.28,4706.23,Facebook,0.015152123143102493,0.7639194915254237,11.575002207009462,3.2630487838699835
2025-05-17,ASC,NY,Facebook - ASC - C01,139596,2086,1235.47,3674.32,Facebook,0.014943121579414883,0.5922674976030681,8.850325224218459,2.9740260791439694
2025-05-18,ASC,NY,Facebook - ASC - C01,167700,2635,1169.83,3317.04,Facebook,0.01571258199165176,0.4439582542694497,6.975730471079308,2.8354889171930964
2025-05-19,ASC,NY,Facebook - ASC - C01,132781,2045,1775.26,5250.54,Facebook,0.01540129988477267,0.8680977995110024,13.36983453958021,2.957617475750031
2025-05-20,ASC,NY,Facebook - ASC - C01,115201,1634,987.1,2409.58,Facebook,0.014183904653605438,0.6041003671970624,8.568502009531167,2.4410698004254887
2025-05-21,ASC,NY,Facebook - ASC - C01,101433,1500,994.24,2607.73,Facebook,0.01478808671734051,0.6628266666666667,9.80193822523242,2.6228375442549083
2025-05-22,ASC,NY,Facebook - ASC - C01,364349,5045,3057.92,9265.95,Facebook,0.013846614098021402,0.6061288404360753,8.392832147199526,3.0301479437002934
2025-05-23,ASC,NY,Facebook - ASC - C01,161201,2410,2246.92,6257.68,Facebook,0.014950279464767588,0.932331950207469,13.93862320953344,2.785003471418653
2025-05-24,ASC,NY,Facebook - ASC - C01,194041,2937,1629.88,4530.73,Facebook,0.015135976417355096,0.5549472250595846,8.399668111378523,2.779793604437136
2025-05-25,ASC,NY,Facebook - ASC - C01,258008,4161,2689.69,7821.79,Facebook,0.016127406902111563,0.6464047104061523,10.424831788161608,2.9080637545590755
2025-05-26,ASC,NY,Facebook - ASC - C01,227064,3122,2608.66,6682.26,Facebook,0.013749427474192298,0.8355733504163997,11.488655180918155,2.5615680080961107
2025-05-27,ASC,NY,Facebook - ASC - C01,205140,2828,2752.07,7824.42,Facebook,0.013785707321828995,0.9731506364922207,13.415569854733352,2.843103554778766
2025-05-28,ASC,NY,Facebook - ASC - C01,274009,3830,2057.01,5551.02,Facebook,0.013977643070118135,0.5370783289817233,7.507089183202012,2.6985867837297826
2025-05-29,ASC,NY,Facebook - ASC - C01,362869,5502,3587.44,10916.51,Facebook,0.015162496658573756,0.6520247182842602,9.88632261229259,3.0429805097785607
2025-05-30,ASC,NY,Facebook - ASC - C01,173645,2552,2221.42,6107.35,Facebook,0.014696651213683088,0.8704623824451411,12.792882029427856,2.749299997299025
2025-05-31,ASC,NY,Facebook - ASC - C01,183112,2798,1964.58,5195.72,Facebook,0.015280265629778496,0.7021372408863473,10.728843549303159,2.6446975943967668
2025-06-01,ASC,NY,Facebook - ASC - C01,207865,3222,1318.24,3550.39,Facebook,0.015500445000360812,0.40913718187461207,6.341808385250042,2.693280434518752
2025-06-02,ASC,NY,Facebook - ASC - C01,88685,1422,990.18,2627.67,Facebook,0.016034278626599764,0.6963291139240506,11.165135028471557,2.653729624916682
2025-06-03,ASC,NY,Facebook - ASC - C01,136907,2189,1204.86,3460.55,Facebook,0.01598895600663224,0.550415714938328,8.800572651507958,2.8721594210115704
